,overtaking_score,processional_score,chaos_factor,avg_position_change,position_change_std,front_row_dominance,midfield_volatility,points_from_back,predictability
0,5.895,0.16680567139282737,0.49124999999999996,-2.0,5.895,2.0,5.0426750270636544,0.3333333333333333,0.16680567139282737
1,7.363,0.13399437223636607,0.6402608695652174,0.0,7.363,2.5,7.166389806390862,0.3333333333333333,0.13399437223636607
2,5.331,0.18412815319462345,0.4635652173913044,0.0,5.331,1.5,4.323936698360485,0.16666666666666666,0.18412815319462345
3,4.255,0.22962112514351324,0.37,0.0,4.255,3.0,5.7507763451058125,0.0,0.22962112514351324
4,6.44,0.1529051987767584,0.56,0.0,6.44,10.0,6.80336051416609,0.3333333333333333,0.1529051987767584
5,3.77,0.25839793281653745,0.32782608695652177,0.0,3.77,4.0,4.0155946010522525,0.0,0.25839793281653745
6,4.519,0.2164970772894566,0.3929565217391304,0.0,4.519,1.5,6.436503043467892,0.0,0.2164970772894566
7,4.531,0.21593608291945587,0.39399999999999996,0.0,4.531,2.5,2.2038926600773587,0.16666666666666666,0.21593608291945587
9,4.79,0.20449897750511248,0.4165217391304348,0.0,4.79,1.5,4.983902658989812,0.16666666666666666,0.20449897750511248
10,3.387,0.28677946659019216,0.2945217391304348,0.0,3.387,1.5,3.1959796173138706,0.0,0.28677946659019216
11,4.877,0.20092425155716298,0.4240869565217391,0.0,4.877,3.0,4.342481186734475,0.0,0.20092425155716298
12,6.743,0.14613473622680112,0.5863478260869566,0.0,6.743,9.5,4.803272693844122,0.16666666666666666,0.14613473622680112
13,3.554,0.27367268746579093,0.30904347826086953,0.0,3.554,5.5,3.8706773124535787,0.0,0.27367268746579093
14,6.593,0.1494098311668908,0.573304347826087,-1.0,6.593,7.666666666666667,5.732115042211108,0.0,0.1494098311668908
15,4.856,0.2017756255044391,0.42226086956521736,0.0,4.856,1.5,2.1998376563477846,0.3333333333333333,0.2017756255044391
16,5.448,0.1802451333813987,0.47373913043478266,0.0,5.448,1.5,4.50198368975912,0.16666666666666666,0.1802451333813987
17,7.65,0.12903225806451613,0.6652173913043479,0.0,7.65,17.5,6.296257391725432,0.5,0.12903225806451613
18,4.92,0.19920318725099603,0.42782608695652175,0.0,4.92,1.5,4.621378891320518,0.16666666666666666,0.19920318725099603
